station_id,trips_started,name,lat,lon,capacity
7000,21725,Fort York  Blvd / Capreol Ct,43.639832,-79.395954,35
7001,15018,Wellesley Station Green P,43.6649641599074,-79.3835503152689,26
7002,20646,St. George St / Bloor St W,43.667333,-79.399429,19
7003,9264,Madison Ave / Bloor St W,43.667158,-79.402761,15
7004,6674,University Ave / Elm St,43.656518,-79.389099,11
7005,10149,King St W / York St,43.6480008,-79.383177,23
7006,31424,Bay St / College St (East Side),43.660439,-79.385525,19
7007,23011,College St / Huron St,43.658148,-79.398167,19
7008,8770,Wellesley St / Queen's Park Cres,43.663376,-79.392125,19
7009,9998,King St E / Jarvis St,43.650325,-79.372287,25
7010,5114,King St W / Spadina Ave,43.645323,-79.395003,19
7012,14780,Elizabeth St / Edward St (Bus Terminal),43.656026,-79.385327,15
7014,14834,Sherbourne St / Carlton St (Allan Gardens),43.663102,-79.373181,17
7015,11001,King St W / Bay St (West Side),43.64852,-79.380576,38
7016,25408,Bay St / Queens Quay W (Ferry Terminal),43.640978,-79.376785,23
7018,15021,Bremner Blvd / Rees St,43.641529,-79.386741,23
7020,14517,Phoebe St / Spadina Ave,43.650033,-79.396555,33
7021,13823,Bay St / Albert St,43.653264,-79.382458,35
7022,22141,Simcoe St / Queen St W,43.65049,-79.3873,39
7023,11222,College St / Borden St,43.6571,-79.4056,11
7024,11319,Dundonald St / Church St,43.66663,-79.38148,36
7025,8938,Ted Rogers Way / Bloor St E,43.671293,-79.380471,23
7026,14664,Bay St / St. Joseph St,43.665527,-79.387499,15
7027,19638,Beverley  St / Dundas St W,43.652823,-79.393388,31
7028,15386,Gould St / Mutual St,43.6582,-79.3768,31
7029,12920,Bay St / Bloor St W (East Side),43.66943,-79.38915,15
7030,25465,Bay St / Wellesley St W,43.664088,-79.387095,51
7031,8059,Jarvis St / Isabella St,43.668991,-79.379385,23
7032,11864,Augusta Ave / Dundas St W,43.652473,-79.401456,15
7033,22978,Union Station,43.645609,-79.380386,43
7034,11872,Church St / Bloor St E,43.671389,-79.382919,15
7035,12888,Queen St W / Ossington Ave,43.643975,-79.419576,23
7036,6581,Trinity St /Front St E,43.651318,-79.36023,19
7037,14978,Bathurst St / Dundas St W,43.6519501,-79.4060978,27
7038,24495,Dundas St W / Yonge St,43.656094,-79.381484,31
7039,4771,Simcoe St / Michael Sweet Ave,43.652327224103,-79.3882538196087,19
7040,9673,Euclid Ave / Bloor St W,43.664467,-79.414783,19
7041,15481,Edward St / Yonge St,43.656729,-79.382736,23
7042,14672,Sherbourne St / Wellesley St E,43.6673,-79.374,31
7043,19127,Queens Quay W / Lower Simcoe St,43.63951,-79.383717,19
7044,14756,Church St / Alexander St,43.663722,-79.380288,15
7045,11034,Bond St / Queen St E,43.653236,-79.376716,25
7046,12969,Niagara St / Richmond St W,43.64534,-79.409597,26
7047,13632,University Ave / Gerrard St W (East Side),43.657763,-79.389165,25
7048,8130,Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962,47
7050,4920,Richmond St E / Jarvis St Green P,43.652634,-79.374222,16
7052,10767,Wellington St W / Bay St,43.647259,-79.379878,27
7053,7810,Metro Hall Plaza,43.645859,-79.38783,27
7054,11624,Navy Wharf Ct. / Bremner Blvd.,43.640722,-79.391051,0
7055,12552,Jarvis St / Carlton St,43.66207,-79.37617,15
7056,6347,Parliament St / Gerrard St,43.662132,-79.3656796,23
7057,7455,Simcoe St / Wellington St W South,43.6458569,-79.3853654,27
7058,15318,Huron St / Harbord St,43.6637,-79.400053,19
7059,15079,Front St W / Blue Jays Way,43.643473,-79.390477,15
7061,13943,Dalton Rd / Bloor St W,43.6662942,-79.4066433,15
7062,10108,University Ave / College St (West),43.659226,-79.390213,11
7063,12010,Queen's Park / Bloor St W,43.668456,-79.393899,19
7064,3598,51 Parliament St,43.65205,-79.362198,19
7065,12021,Dundas St E / Parliament St,43.659575,-79.365769,15
7066,14070,Willcocks St / St. George St,43.662085,-79.397735,17
7067,6940,Yonge St / Harbour St,43.643795,-79.375413,39
7068,667,Blantyre Park,43.6830689,-79.279682,22
7069,11119,Queen St W / Spadina Ave,43.649147,-79.395504,11
7070,5666,25 York St – Union Station South,43.643667,-79.380414,11
7071,5909,161 Bleecker St (South of Wellesley),43.666233,-79.373327,23
7072,14988,Fleet St / Bathurst St,43.636611,-79.400042,23
7073,10931,Spadina Ave / Fort York Blvd,43.640114,-79.393249,23
7074,7962,King St E / Church St,43.6500392,-79.3733541,15
7075,10942,Queens Quay W / Dan Leckie Way,43.636533,-79.395854,27
7076,35819,York St / Queens Quay W,43.640132,-79.380464,57
7077,13189,College Park South,43.659777,-79.382767,19
7078,25054,College St / Major St,43.6576,-79.4032,15
7079,16497,McGill St / Church St,43.660694,-79.379052,19
7083,2333,Danforth Ave / Barrington Ave,43.688325,-79.300463,15
7084,3271,High Park - Grenadier Cafe,43.645599,-79.4657123,11
7085,1738,Danforth Ave / Westlake Ave,43.687323,-79.304848,15
7086,3887,High Park - West Rd,43.6525077,-79.4654233,23
7087,1465,Danforth Ave / Aldridge Ave,43.684758,-79.316767,11
7088,3951,Danforth Ave / Coxwell Ave,43.683378,-79.322961,15
7089,20887,Church St  / Wood St,43.662712,-79.379903,19
7090,3927,Danforth Ave / Lamb Ave,43.681991,-79.329455,19
7091,2853,Donlands Subway Station,43.681114,-79.3373885,15
7092,634,Pape Subway Station (Green P),43.680223,-79.344062,15
7093,4288,Danforth Ave / Gough Ave,43.678401,-79.346289,17
7094,3961,Chester Subway Station,43.6784834,-79.3513564,9
7095,4989,Danforth Ave / Ellerbeck St,43.677076,-79.35667,14
7096,2356,Lower Don River Trail and Taylor Creek Trail,43.7027268,-79.3336809,19
